,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
11047,2024-07-25T20:30:12+02:00,HBLWTEAM7-------------GPB-000300--,HBLWTEAM7,Women,Women's Preliminary Round Group B,Preliminary Round Group B,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---FRA01,France,Team,FRA,France,31,POINTS,W,2
13255,2024-07-25T22:35:58+02:00,HBLWTEAM7-------------GPA-000300--,HBLWTEAM7,Women,Women's Preliminary Round Group A,Preliminary Round Group A,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---NOR01,Norway,Team,NOR,Norway,28,POINTS,L,1
13256,2024-07-25T22:35:58+02:00,HBLWTEAM7-------------GPA-000300--,HBLWTEAM7,Women,Women's Preliminary Round Group A,Preliminary Round Group A,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---SWE01,Sweden,Team,SWE,Sweden,32,POINTS,W,2
9350,2024-07-28T10:36:08+02:00,HBLWTEAM7-------------GPB-000400--,HBLWTEAM7,Women,Women's Preliminary Round Group B,Preliminary Round Group B,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---BRA01,Brazil,Team,BRA,Brazil,24,POINTS,L,1
9351,2024-07-28T10:36:08+02:00,HBLWTEAM7-------------GPB-000400--,HBLWTEAM7,Women,Women's Preliminary Round Group B,Preliminary Round Group B,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---HUN01,Hungary,Team,HUN,Hungary,25,POINTS,W,2
8394,2024-07-28T12:41:41+02:00,HBLWTEAM7-------------GPA-000400--,HBLWTEAM7,Women,Women's Preliminary Round Group A,Preliminary Round Group A,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---KOR01,Republic of Korea,Team,KOR,Korea,23,POINTS,L,1
8395,2024-07-28T12:41:41+02:00,HBLWTEAM7-------------GPA-000400--,HBLWTEAM7,Women,Women's Preliminary Round Group A,Preliminary Round Group A,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---SLO01,Slovenia,Team,SLO,Slovenia,30,POINTS,W,2
8400,2024-07-28T15:37:18+02:00,HBLWTEAM7-------------GPA-000500--,HBLWTEAM7,Women,Women's Preliminary Round Group A,Preliminary Round Group A,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---SWE01,Sweden,Team,SWE,Sweden,31,POINTS,W,1
8401,2024-07-28T15:37:18+02:00,HBLWTEAM7-------------GPA-000500--,HBLWTEAM7,Women,Women's Preliminary Round Group A,Preliminary Round Group A,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---GER01,Germany,Team,GER,Germany,28,POINTS,L,2
2350,2024-07-28T17:30:12+02:00,HBLWTEAM7-------------GPA-000600--,HBLWTEAM7,Women,Women's Preliminary Round Group A,Preliminary Round Group A,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---DEN01,Denmark,Team,DEN,Denmark,18,POINTS,L,1
2351,2024-07-28T17:30:12+02:00,HBLWTEAM7-------------GPA-000600--,HBLWTEAM7,Women,Women's Preliminary Round Group A,Preliminary Round Group A,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---NOR01,Norway,Team,NOR,Norway,27,POINTS,W,2
1365,2024-07-28T22:28:48+02:00,HBLWTEAM7-------------GPB-000600--,HBLWTEAM7,Women,Women's Preliminary Round Group B,Preliminary Round Group B,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---FRA01,France,Team,FRA,France,32,POINTS,W,1
1366,2024-07-28T22:28:48+02:00,HBLWTEAM7-------------GPB-000600--,HBLWTEAM7,Women,Women's Preliminary Round Group B,Preliminary Round Group B,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---NED01,Netherlands,Team,NED,Netherlands,28,POINTS,L,2
2344,2024-07-30T10:31:32+02:00,HBLWTEAM7-------------GPA-000700--,HBLWTEAM7,Women,Women's Preliminary Round Group A,Preliminary Round Group A,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---GER01,Germany,Team,GER,Germany,41,POINTS,W,1
2345,2024-07-30T10:31:32+02:00,HBLWTEAM7-------------GPA-000700--,HBLWTEAM7,Women,Women's Preliminary Round Group A,Preliminary Round Group A,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---SLO01,Slovenia,Team,SLO,Slovenia,22,POINTS,L,2
12505,2024-07-30T12:27:56+02:00,HBLWTEAM7-------------GPA-000800--,HBLWTEAM7,Women,Women's Preliminary Round Group A,Preliminary Round Group A,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---NOR01,Norway,Team,NOR,Norway,26,POINTS,W,1
12506,2024-07-30T12:27:56+02:00,HBLWTEAM7-------------GPA-000800--,HBLWTEAM7,Women,Women's Preliminary Round Group A,Preliminary Round Group A,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---KOR01,Republic of Korea,Team,KOR,Korea,20,POINTS,L,2
