,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
3025,2024-07-31T22:19:28+02:00,VVOWTEAM6-------------GPB-000300--,VVOWTEAM6,Women,Women's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---KEN01,Kenya,Team,KEN,Kenya,0,POINTS,L,2
11331,2024-08-01T14:48:22+02:00,VVOWTEAM6-------------GPC-000300--,VVOWTEAM6,Women,Women's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---TUR01,Türkiye,Team,TUR,Türkiye,3,POINTS,W,1
11332,2024-08-01T14:48:22+02:00,VVOWTEAM6-------------GPC-000300--,VVOWTEAM6,Women,Women's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---DOM01,Dominican Republic,Team,DOM,Dominican Republic,1,POINTS,L,2
9810,2024-08-01T18:34:37+02:00,VVOWTEAM6-------------GPC-000400--,VVOWTEAM6,Women,Women's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---ITA01,Italy,Team,ITA,Italy,3,POINTS,W,1
9811,2024-08-01T18:34:37+02:00,VVOWTEAM6-------------GPC-000400--,VVOWTEAM6,Women,Women's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---NED01,Netherlands,Team,NED,Netherlands,0,POINTS,L,2
9983,2024-08-01T18:48:13+02:00,VVOWTEAM6-------------GPA-000100--,VVOWTEAM6,Women,Women's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---USA01,United States of America,Team,USA,United States,2,POINTS,L,1
9984,2024-08-01T18:48:13+02:00,VVOWTEAM6-------------GPA-000100--,VVOWTEAM6,Women,Women's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---CHN01,People's Republic of China,Team,CHN,China,3,POINTS,W,2
5741,2024-08-01T22:21:48+02:00,VVOWTEAM6-------------GPA-000400--,VVOWTEAM6,Women,Women's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---FRA01,France,Team,FRA,France,0,POINTS,L,1
5742,2024-08-01T22:21:48+02:00,VVOWTEAM6-------------GPA-000400--,VVOWTEAM6,Women,Women's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---CHN01,People's Republic of China,Team,CHN,China,3,POINTS,W,2
369,2024-08-02T20:03:05+02:00,VVOWTEAM6-------------GPA-000300--,VVOWTEAM6,Women,Women's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---USA01,United States of America,Team,USA,United States,3,POINTS,W,1
370,2024-08-02T20:03:05+02:00,VVOWTEAM6-------------GPA-000300--,VVOWTEAM6,Women,Women's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---SRB01,Serbia,Team,SRB,Serbia,2,POINTS,L,2
4734,2024-08-02T20:03:44+02:00,VVOWTEAM6-------------GPB-000400--,VVOWTEAM6,Women,Women's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---BRA01,Brazil,Team,BRA,Brazil,3,POINTS,W,1
4735,2024-08-02T20:03:44+02:00,VVOWTEAM6-------------GPB-000400--,VVOWTEAM6,Women,Women's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---JPN01,Japan,Team,JPN,Japan,0,POINTS,L,2
9820,2024-08-03T11:03:24+02:00,VVOWTEAM6-------------GPC-000500--,VVOWTEAM6,Women,Women's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---NED01,Netherlands,Team,NED,Netherlands,1,POINTS,L,1
9821,2024-08-03T11:03:24+02:00,VVOWTEAM6-------------GPC-000500--,VVOWTEAM6,Women,Women's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---DOM01,Dominican Republic,Team,DOM,Dominican Republic,3,POINTS,W,2
4750,2024-08-03T14:14:15+02:00,VVOWTEAM6-------------GPB-000500--,VVOWTEAM6,Women,Women's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---JPN01,Japan,Team,JPN,Japan,3,POINTS,W,1
4751,2024-08-03T14:14:15+02:00,VVOWTEAM6-------------GPB-000500--,VVOWTEAM6,Women,Women's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---KEN01,Kenya,Team,KEN,Kenya,0,POINTS,L,2
283,2024-08-04T10:19:28+02:00,VVOWTEAM6-------------GPC-000600--,VVOWTEAM6,Women,Women's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---ITA01,Italy,Team,ITA,Italy,3,POINTS,W,1
284,2024-08-04T10:19:28+02:00,VVOWTEAM6-------------GPC-000600--,VVOWTEAM6,Women,Women's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---TUR01,Türkiye,Team,TUR,Türkiye,0,POINTS,L,2
5775,2024-08-04T14:43:06+02:00,VVOWTEAM6-------------GPA-000500--,VVOWTEAM6,Women,Women's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---FRA01,France,Team,FRA,France,0,POINTS,L,1
5776,2024-08-04T14:43:06+02:00,VVOWTEAM6-------------GPA-000500--,VVOWTEAM6,Women,Women's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---USA01,United States of America,Team,USA,United States,3,POINTS,W,2
11652,2024-08-04T19:04:58+02:00,VVOWTEAM6-------------GPA-000600--,VVOWTEAM6,Women,Women's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---CHN01,People's Republic of China,Team,CHN,China,3,POINTS,W,1
11653,2024-08-04T19:04:58+02:00,VVOWTEAM6-------------GPA-000600--,VVOWTEAM6,Women,Women's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---SRB01,Serbia,Team,SRB,Serbia,1,POINTS,L,2
12376,2024-08-04T22:42:32+02:00,VVOWTEAM6-------------GPB-000600--,VVOWTEAM6,Women,Women's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---BRA01,Brazil,Team,BRA,Brazil,3,POINTS,W,1
12377,2024-08-04T22:42:32+02:00,VVOWTEAM6-------------GPB-000600--,VVOWTEAM6,Women,Women's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---POL01,Poland,Team,POL,Poland,0,POINTS,L,2
