,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM
3414,2024-08-02T13:38:20+02:00,BDMMDOUBLES-----------SFNL000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Semifinal,Semifinal,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-DEN01,ASTRUP Kim / RASMUSSEN Anders Skaarup,Team,DEN,Denmark,1,POINTS,L,
3415,2024-08-02T13:38:20+02:00,BDMMDOUBLES-----------SFNL000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Semifinal,Semifinal,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-TPE01,LEE Yang / WANG Chi-Lin,Team,TPE,Chinese Taipei,2,POINTS,W,
3570,2024-08-04T16:17:26+02:00,BDMMDOUBLES-----------FNL-000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Bronze Medal Match,Bronze Medal Match,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-MAS01,CHIA Aaron / SOH Wooi Yik,Team,MAS,Malaysia,2,POINTS,W,
3571,2024-08-04T16:17:26+02:00,BDMMDOUBLES-----------FNL-000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Bronze Medal Match,Bronze Medal Match,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-DEN01,ASTRUP Kim / RASMUSSEN Anders Skaarup,Team,DEN,Denmark,1,POINTS,L,
12974,2024-08-04T17:45:40+02:00,BDMMDOUBLES-----------FNL-000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Gold Medal Match,Gold Medal Match,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN02,LIANG Wei Keng / WANG Chang,Team,CHN,China,1,POINTS,L,
12975,2024-08-04T17:45:40+02:00,BDMMDOUBLES-----------FNL-000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Gold Medal Match,Gold Medal Match,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-TPE01,LEE Yang / WANG Chi-Lin,Team,TPE,Chinese Taipei,2,POINTS,W,
503,2024-07-27T11:45:12+02:00,BDMMSINGLES-----------GPC-000100--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group C,Group Play Stage - Group C,FINISHED,M,Badminton,BDM,La Chapelle Arena,1926294,VITIDSARN Kunlavut,Person,THA,Thailand,2,POINTS,W,
504,2024-07-27T11:45:12+02:00,BDMMSINGLES-----------GPC-000100--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group C,Group Play Stage - Group C,FINISHED,M,Badminton,BDM,La Chapelle Arena,1550150,PAUL Georges Julien,Person,MRI,Mauritius,0,POINTS,L,
5566,2024-07-27T11:50:19+02:00,BDMMSINGLES-----------GPA-000300--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group A,Group Play Stage - Group A,FINISHED,M,Badminton,BDM,La Chapelle Arena,1913421,SHI Yu Qi,Person,CHN,China,2,POINTS,W,
5567,2024-07-27T11:50:19+02:00,BDMMSINGLES-----------GPA-000300--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group A,Group Play Stage - Group A,FINISHED,M,Badminton,BDM,La Chapelle Arena,1540583,OPTI Soren,Person,SUR,Suriname,0,POINTS,L,
