,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,start_order
11269,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1556796,GREEN Gavin,Person,MAS,Malaysia,53.0,74,STROKES,,26
11270,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1938134,ECHAVARRIA Nico,Person,COL,Colombia,53.0,74,STROKES,,55
11271,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1951700,CLARK Wyndham,Person,USA,United States,56.0,75,STROKES,,13
11272,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1939559,HILLIER Daniel,Person,NZL,New Zealand,56.0,75,STROKES,,23
11273,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1536371,BHULLAR Gaganjeet,Person,IND,India,56.0,75,STROKES,,27
11274,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1941775,LEE Min Woo,Person,AUS,Australia,59.0,76,STROKES,,10
11275,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1938070,VILLEGAS Camilo,Person,COL,Colombia,59.0,76,STROKES,,32
5199,2024-08-02T17:54:13+02:00,GLFMSTROKE------------FNL-000200--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 2,Round 2,FINISHED,M,Golf,GLF,Le Golf National,1903185,DETRY Thomas,Person,BEL,Belgium,1.0,63,STROKES,,12
5200,2024-08-02T17:54:13+02:00,GLFMSTROKE------------FNL-000200--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 2,Round 2,FINISHED,M,Golf,GLF,Le Golf National,1892516,JAEGER Stephan,Person,GER,Germany,2.0,64,STROKES,,10
5201,2024-08-02T17:54:13+02:00,GLFMSTROKE------------FNL-000200--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 2,Round 2,FINISHED,M,Golf,GLF,Le Golf National,1898169,FITZPATRICK Matt,Person,GBR,Great Britain,2.0,64,STROKES,,21
