,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
12758,2024-07-28T18:22:24+02:00,RU7WTEAM7-------------GPA-000200--,RU7WTEAM7,Women,Women's Pool A,Pool A,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---NZL01,New Zealand,Team,NZL,New Zealand,43,POINTS,W,1
12759,2024-07-28T18:22:24+02:00,RU7WTEAM7-------------GPA-000200--,RU7WTEAM7,Women,Women's Pool A,Pool A,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---CHN01,People's Republic of China,Team,CHN,China,5,POINTS,L,2
10391,2024-07-28T19:29:09+02:00,RU7WTEAM7-------------GPB-000300--,RU7WTEAM7,Women,Women's Pool B,Pool B,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---IRL01,Ireland,Team,IRL,Ireland,38,POINTS,W,1
10392,2024-07-28T19:29:09+02:00,RU7WTEAM7-------------GPB-000300--,RU7WTEAM7,Women,Women's Pool B,Pool B,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---RSA01,South Africa,Team,RSA,South Africa,0,POINTS,L,2
8675,2024-07-28T19:55:04+02:00,RU7WTEAM7-------------GPB-000400--,RU7WTEAM7,Women,Women's Pool B,Pool B,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---AUS01,Australia,Team,AUS,Australia,36,POINTS,W,1
8676,2024-07-28T19:55:04+02:00,RU7WTEAM7-------------GPB-000400--,RU7WTEAM7,Women,Women's Pool B,Pool B,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---GBR01,Great Britain,Team,GBR,Great Britain,5,POINTS,L,2
2340,2024-07-28T20:28:29+02:00,RU7WTEAM7-------------GPC-000300--,RU7WTEAM7,Women,Women's Pool C,Pool C,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---USA01,United States of America,Team,USA,United States,24,POINTS,W,1
2341,2024-07-28T20:28:29+02:00,RU7WTEAM7-------------GPC-000300--,RU7WTEAM7,Women,Women's Pool C,Pool C,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---BRA01,Brazil,Team,BRA,Brazil,5,POINTS,L,2
4074,2024-07-28T20:55:20+02:00,RU7WTEAM7-------------GPC-000400--,RU7WTEAM7,Women,Women's Pool C,Pool C,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---FRA01,France,Team,FRA,France,49,POINTS,W,1
4075,2024-07-28T20:55:20+02:00,RU7WTEAM7-------------GPC-000400--,RU7WTEAM7,Women,Women's Pool C,Pool C,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---JPN01,Japan,Team,JPN,Japan,0,POINTS,L,2
12774,2024-07-28T21:21:04+02:00,RU7WTEAM7-------------GPA-000300--,RU7WTEAM7,Women,Women's Pool A,Pool A,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---FIJ01,Fiji,Team,FIJ,Fiji,12,POINTS,L,1
12775,2024-07-28T21:21:04+02:00,RU7WTEAM7-------------GPA-000300--,RU7WTEAM7,Women,Women's Pool A,Pool A,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---CHN01,People's Republic of China,Team,CHN,China,40,POINTS,W,2
7869,2024-07-28T21:51:36+02:00,RU7WTEAM7-------------GPA-000400--,RU7WTEAM7,Women,Women's Pool A,Pool A,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---NZL01,New Zealand,Team,NZL,New Zealand,33,POINTS,W,1
7870,2024-07-28T21:51:36+02:00,RU7WTEAM7-------------GPA-000400--,RU7WTEAM7,Women,Women's Pool A,Pool A,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---CAN01,Canada,Team,CAN,Canada,7,POINTS,L,2
4070,2024-07-29T15:28:14+02:00,RU7WTEAM7-------------GPC-000500--,RU7WTEAM7,Women,Women's Pool C,Pool C,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---JPN01,Japan,Team,JPN,Japan,39,POINTS,W,1
4071,2024-07-29T15:28:14+02:00,RU7WTEAM7-------------GPC-000500--,RU7WTEAM7,Women,Women's Pool C,Pool C,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---BRA01,Brazil,Team,BRA,Brazil,12,POINTS,L,2
13237,2024-07-29T16:26:24+02:00,RU7WTEAM7-------------GPC-000600--,RU7WTEAM7,Women,Women's Pool C,Pool C,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---FRA01,France,Team,FRA,France,31,POINTS,W,1
13238,2024-07-29T16:26:24+02:00,RU7WTEAM7-------------GPC-000600--,RU7WTEAM7,Women,Women's Pool C,Pool C,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---USA01,United States of America,Team,USA,United States,14,POINTS,L,2
7857,2024-07-29T16:27:09+02:00,RU7WTEAM7-------------GPA-000500--,RU7WTEAM7,Women,Women's Pool A,Pool A,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---CAN01,Canada,Team,CAN,Canada,26,POINTS,W,1
7858,2024-07-29T16:27:09+02:00,RU7WTEAM7-------------GPA-000500--,RU7WTEAM7,Women,Women's Pool A,Pool A,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---CHN01,People's Republic of China,Team,CHN,China,17,POINTS,L,2
