,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
4777,2024-08-03T18:59:11+02:00,BKBMTEAM5-------------GPC-000500--,BKBMTEAM5,Men,Men's Group Phase - Group C,Group Phase - Group C,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---USA01,United States of America,Team,USA,United States,104,POINTS,W,2
12413,2024-08-03T22:57:44+02:00,BKBMTEAM5-------------GPC-000600--,BKBMTEAM5,Men,Men's Group Phase - Group C,Group Phase - Group C,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---SRB01,Serbia,Team,SRB,Serbia,96,POINTS,W,1
12414,2024-08-03T22:57:44+02:00,BKBMTEAM5-------------GPC-000600--,BKBMTEAM5,Men,Men's Group Phase - Group C,Group Phase - Group C,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---SSD01,South Sudan,Team,SSD,South Sudan,85,POINTS,L,2
1875,2024-07-28T15:53:12+02:00,BKBWTEAM5-------------GPA-000100--,BKBWTEAM5,Women,Women's Group Phase - Group A,Group Phase - Group A,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---ESP01,Spain,Team,ESP,Spain,90,POINTS,W,1
1876,2024-07-28T15:53:12+02:00,BKBWTEAM5-------------GPA-000100--,BKBWTEAM5,Women,Women's Group Phase - Group A,Group Phase - Group A,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---CHN01,People's Republic of China,Team,CHN,China,89,POINTS,L,2
8132,2024-07-28T22:57:24+02:00,BKBWTEAM5-------------GPA-000200--,BKBWTEAM5,Women,Women's Group Phase - Group A,Group Phase - Group A,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---SRB01,Serbia,Team,SRB,Serbia,58,POINTS,W,1
8133,2024-07-28T22:57:24+02:00,BKBWTEAM5-------------GPA-000200--,BKBWTEAM5,Women,Women's Group Phase - Group A,Group Phase - Group A,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---PUR01,Puerto Rico,Team,PUR,Puerto Rico,55,POINTS,L,2
1064,2024-07-29T12:59:01+02:00,BKBWTEAM5-------------GPB-000100--,BKBWTEAM5,Women,Women's Group Phase - Group B,Group Phase - Group B,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---NGR01,Nigeria,Team,NGR,Nigeria,75,POINTS,W,1
1065,2024-07-29T12:59:01+02:00,BKBWTEAM5-------------GPB-000100--,BKBWTEAM5,Women,Women's Group Phase - Group B,Group Phase - Group B,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---AUS01,Australia,Team,AUS,Australia,62,POINTS,L,2
13227,2024-07-29T15:28:33+02:00,BKBWTEAM5-------------GPC-000100--,BKBWTEAM5,Women,Women's Group Phase - Group C,Group Phase - Group C,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---GER01,Germany,Team,GER,Germany,83,POINTS,W,1
13228,2024-07-29T15:28:33+02:00,BKBWTEAM5-------------GPC-000100--,BKBWTEAM5,Women,Women's Group Phase - Group C,Group Phase - Group C,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---BEL01,Belgium,Team,BEL,Belgium,69,POINTS,L,2
