,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_WLT,qualification_mark,bib
4639,2024-08-01T12:57:01+02:00,SRFMSHORTBRD----------QFNL000200--,SRFMSHORTBRD,Men,Men's Quarterfinals - Heat 2,Quarterfinals - Heat 2,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1567362,DURU Joan,Person,FRA,France,2.0,12.33,POINTS,L,,4
4653,2024-08-01T13:32:53+02:00,SRFMSHORTBRD----------QFNL000300--,SRFMSHORTBRD,Men,Men's Quarterfinals - Heat 3,Quarterfinals - Heat 3,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1955778,MEDINA Gabriel,Person,BRA,Brazil,1.0,14.77,POINTS,W,,1
4654,2024-08-01T13:32:53+02:00,SRFMSHORTBRD----------QFNL000300--,SRFMSHORTBRD,Men,Men's Quarterfinals - Heat 3,Quarterfinals - Heat 3,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1955780,CHIANCA Joao,Person,BRA,Brazil,2.0,9.33,POINTS,L,,23
2841,2024-08-01T14:08:58+02:00,SRFMSHORTBRD----------QFNL000400--,SRFMSHORTBRD,Men,Men's Quarterfinals - Heat 4,Quarterfinals - Heat 4,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1946129,ROBINSON Jack,Person,AUS,Australia,1.0,15.33,POINTS,W,,13
2842,2024-08-01T14:08:58+02:00,SRFMSHORTBRD----------QFNL000400--,SRFMSHORTBRD,Men,Men's Quarterfinals - Heat 4,Quarterfinals - Heat 4,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1946128,EWING Ethan,Person,AUS,Australia,2.0,13.00,POINTS,L,,8
8227,2024-07-27T12:22:54+02:00,SRFWSHORTBRD----------PREL000100--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 1,Round 1 - Heat 1,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1943206,MARKS Caroline,Person,USA,United States,1.0,17.93,POINTS,,Q3,9
8228,2024-07-27T12:22:54+02:00,SRFWSHORTBRD----------PREL000100--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 1,Round 1 - Heat 1,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1963658,BAUM Sarah,Person,RSA,South Africa,2.0,8.47,POINTS,,Q2,17
8229,2024-07-27T12:22:54+02:00,SRFWSHORTBRD----------PREL000100--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 1,Round 1 - Heat 1,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1916729,HOPKINS Yolanda,Person,POR,Portugal,3.0,7.00,POINTS,,Q2,8
2112,2024-07-27T12:58:29+02:00,SRFWSHORTBRD----------PREL000200--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 2,Round 1 - Heat 2,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1567360,FIERRO Vahine,Person,FRA,France,1.0,11.17,POINTS,,Q3,21
2113,2024-07-27T12:58:29+02:00,SRFWSHORTBRD----------PREL000200--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 2,Round 1 - Heat 2,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1560138,AGUIRRE Sol,Person,PER,Peru,2.0,4.30,POINTS,,Q2,4
2114,2024-07-27T12:58:29+02:00,SRFWSHORTBRD----------PREL000200--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 2,Round 1 - Heat 2,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1957832,GONZALEZ ETXABARRI Janire,Person,ESP,Spain,3.0,2.43,POINTS,,Q2,13
2097,2024-07-27T13:38:55+02:00,SRFWSHORTBRD----------PREL000300--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 3,Round 1 - Heat 3,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1946137,WRIGHT Tyler,Person,AUS,Australia,1.0,7.67,POINTS,,Q3,20
2098,2024-07-27T13:38:55+02:00,SRFWSHORTBRD----------PREL000300--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 3,Round 1 - Heat 3,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1910841,LELIOR Anat,Person,ISR,Israel,2.0,5.43,POINTS,,Q2,5
2099,2024-07-27T13:38:55+02:00,SRFWSHORTBRD----------PREL000300--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 3,Round 1 - Heat 3,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1934254,DEMPFLE-OLIN Sanoa,Person,CAN,Canada,3.0,4.83,POINTS,,Q2,12
3829,2024-07-27T14:10:42+02:00,SRFWSHORTBRD----------PREL000400--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 4,Round 1 - Heat 4,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1943208,SIMMERS Caitlin,Person,USA,United States,1.0,12.93,POINTS,,Q3,24
3830,2024-07-27T14:10:42+02:00,SRFWSHORTBRD----------PREL000400--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 4,Round 1 - Heat 4,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1955783,WESTON-WEBB Tatiana,Person,BRA,Brazil,2.0,10.33,POINTS,,Q2,1
3831,2024-07-27T14:10:42+02:00,SRFWSHORTBRD----------PREL000400--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 4,Round 1 - Heat 4,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1946132,PICKLUM Molly,Person,AUS,Australia,3.0,8.44,POINTS,,Q2,16
3848,2024-07-27T14:48:11+02:00,SRFWSHORTBRD----------PREL000500--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 5,Round 1 - Heat 5,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1557964,HENNESSY Brisa,Person,CRC,Costa Rica,1.0,15.56,POINTS,,Q3,15
3849,2024-07-27T14:48:11+02:00,SRFWSHORTBRD----------PREL000500--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 5,Round 1 - Heat 5,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1567359,DEFAY Johanne,Person,FRA,France,2.0,9.50,POINTS,,Q2,2
3850,2024-07-27T14:48:11+02:00,SRFWSHORTBRD----------PREL000500--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 5,Round 1 - Heat 5,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1950037,RESANO Candelaria,Person,NCA,Nicaragua,3.0,9.43,POINTS,,Q2,23
13042,2024-07-27T15:24:00+02:00,SRFWSHORTBRD----------PREL000600--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 6,Round 1 - Heat 6,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1955781,SILVA Luana,Person,BRA,Brazil,1.0,7.27,POINTS,,Q3,19
13043,2024-07-27T15:24:00+02:00,SRFWSHORTBRD----------PREL000600--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 6,Round 1 - Heat 6,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1955782,HINCKEL Taina,Person,BRA,Brazil,2.0,5.73,POINTS,,Q2,6
13044,2024-07-27T15:24:00+02:00,SRFWSHORTBRD----------PREL000600--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 6,Round 1 - Heat 6,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1556614,KEMP Camilla,Person,GER,Germany,3.0,2.80,POINTS,,Q2,11
13015,2024-07-27T15:59:07+02:00,SRFWSHORTBRD----------PREL000700--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 7,Round 1 - Heat 7,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1957831,EROSTARBE Nadia,Person,ESP,Spain,1.0,13.83,POINTS,,Q3,3
13016,2024-07-27T15:59:07+02:00,SRFWSHORTBRD----------PREL000700--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 7,Round 1 - Heat 7,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1919017,VETTE Saffi,Person,NZL,New Zealand,2.0,7.50,POINTS,,Q2,22
13017,2024-07-27T15:59:07+02:00,SRFWSHORTBRD----------PREL000700--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 7,Round 1 - Heat 7,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1901532,YANG Siqi,Person,CHN,China,3.0,5.40,POINTS,,Q2,14
