,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
5672,2024-08-04T18:22:02+02:00,BK3MTEAM3-------------GPA-002600--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---POL01,Poland,Team,POL,Poland,16,POINTS,L,1
5673,2024-08-04T18:22:02+02:00,BK3MTEAM3-------------GPA-002600--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---LAT01,Latvia,Team,LAT,Latvia,22,POINTS,W,2
5702,2024-08-04T18:56:08+02:00,BK3MTEAM3-------------GPA-002700--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---LTU01,Lithuania,Team,LTU,Lithuania,20,POINTS,W,1
5703,2024-08-04T18:56:08+02:00,BK3MTEAM3-------------GPA-002700--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---SRB01,Serbia,Team,SRB,Serbia,18,POINTS,L,2
9269,2024-08-04T19:20:18+02:00,BK3MTEAM3-------------GPA-002800--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---USA01,United States of America,Team,USA,United States,6,POINTS,L,1
9270,2024-08-04T19:20:18+02:00,BK3MTEAM3-------------GPA-002800--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---NED01,Netherlands,Team,NED,Netherlands,21,POINTS,W,2
2591,2024-08-04T21:54:11+02:00,BK3MTEAM3-------------QFNL000400--,BK3MTEAM3,Men,Men's Play-in Games,Play-in Game,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---LTU01,Lithuania,Team,LTU,Lithuania,21,POINTS,W,1
2592,2024-08-04T21:54:11+02:00,BK3MTEAM3-------------QFNL000400--,BK3MTEAM3,Men,Men's Play-in Games,Play-in Game,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---POL01,Poland,Team,POL,Poland,15,POINTS,L,2
4339,2024-08-04T22:25:56+02:00,BK3MTEAM3-------------QFNL000200--,BK3MTEAM3,Men,Men's Play-in Games,Play-in Game,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---SRB01,Serbia,Team,SRB,Serbia,19,POINTS,L,1
4340,2024-08-04T22:25:56+02:00,BK3MTEAM3-------------QFNL000200--,BK3MTEAM3,Men,Men's Play-in Games,Play-in Game,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---FRA01,France,Team,FRA,France,22,POINTS,W,2
12721,2024-07-30T17:53:43+02:00,BK3WTEAM3-------------GPA-000100--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---GER01,Germany,Team,GER,Germany,17,POINTS,W,1
12722,2024-07-30T17:53:43+02:00,BK3WTEAM3-------------GPA-000100--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---USA01,United States of America,Team,USA,United States,13,POINTS,L,2
3376,2024-07-30T18:30:45+02:00,BK3WTEAM3-------------GPA-000200--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---AUS01,Australia,Team,AUS,Australia,14,POINTS,L,1
