,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT
8096,2024-07-28T20:55:20+02:00,TTEMSINGLES-----------R64-001700--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1889177,LEBRUN Felix,Person,FRA,France,4,POINTS,W
8097,2024-07-28T20:55:20+02:00,TTEMSINGLES-----------R64-001700--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1538190,DESAI Harmeet,Person,IND,India,0,POINTS,L
8086,2024-07-28T21:59:59+02:00,TTEMSINGLES-----------R64-001600--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1541369,PEREIRA Andy,Person,CUB,Cuba,0,POINTS,L
8087,2024-07-28T21:59:59+02:00,TTEMSINGLES-----------R64-001600--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1958377,CALDERANO Hugo,Person,BRA,Brazil,4,POINTS,W
6685,2024-07-28T22:00:11+02:00,TTEMSINGLES-----------R64-003000--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1961352,GIONIS Panagiotis,Person,GRE,Greece,4,POINTS,W
6686,2024-07-28T22:00:11+02:00,TTEMSINGLES-----------R64-003000--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1961108,LY Edward,Person,CAN,Canada,0,POINTS,L
3582,2024-07-28T22:38:39+02:00,TTEMSINGLES-----------R64-001300--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1889176,LEBRUN Alexis,Person,FRA,France,4,POINTS,W
3583,2024-07-28T22:38:39+02:00,TTEMSINGLES-----------R64-001300--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1541290,LORENZO Santiago,Person,ARG,Argentina,0,POINTS,L
1054,2024-07-28T22:42:26+02:00,TTEMSINGLES-----------R64-000800--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1937387,APOLONIA Tiago,Person,POR,Portugal,1,POINTS,L
1055,2024-07-28T22:42:26+02:00,TTEMSINGLES-----------R64-000800--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1542547,QIU Dang,Person,GER,Germany,4,POINTS,W
12401,2024-07-29T10:34:15+02:00,TTEMSINGLES-----------R64-002500--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1931099,HARIMOTO Tomokazu,Person,JPN,Japan,4,POINTS,W
12402,2024-07-29T10:34:15+02:00,TTEMSINGLES-----------R64-002500--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1941633,ALLEGRO Martin,Person,BEL,Belgium,0,POINTS,L
1769,2024-07-29T10:58:49+02:00,TTEMSINGLES-----------R64-001500--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1563520,ROBLES Alvaro,Person,ESP,Spain,4,POINTS,W
1770,2024-07-29T10:58:49+02:00,TTEMSINGLES-----------R64-001500--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1566426,HABESOHN Daniel,Person,AUT,Austria,2,POINTS,L
7561,2024-07-29T11:54:35+02:00,TTEMSINGLES-----------R64-002300--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1541474,IONESCU Ovidiu,Person,ROU,Romania,1,POINTS,L
7562,2024-07-29T11:54:35+02:00,TTEMSINGLES-----------R64-002300--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1565009,GACINA Andrej,Person,CRO,Croatia,4,POINTS,W
6671,2024-07-29T12:12:09+02:00,TTEMSINGLES-----------R64-003100--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1962225,WONG Chun Ting,Person,HKG,"Hong Kong, China",4,POINTS,W
6672,2024-07-29T12:12:09+02:00,TTEMSINGLES-----------R64-003100--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1962788,DIAW Ibrahima,Person,SEN,Senegal,3,POINTS,L
11034,2024-07-29T12:37:57+02:00,TTEMSINGLES-----------R64-003200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1556084,ZHMUDENKO Yaroslav,Person,UKR,Ukraine,0,POINTS,L
11035,2024-07-29T12:37:57+02:00,TTEMSINGLES-----------R64-003200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1902295,FAN Zhendong,Person,CHN,China,4,POINTS,W
4337,2024-07-29T12:39:14+02:00,TTEMSINGLES-----------R64-001900--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1946683,LUM Nicholas,Person,AUS,Australia,0,POINTS,L
4338,2024-07-29T12:39:14+02:00,TTEMSINGLES-----------R64-001900--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1958386,ISHIY Vitor,Person,BRA,Brazil,4,POINTS,W
7557,2024-07-29T13:28:28+02:00,TTEMSINGLES-----------R64-002200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1897860,WU Vicky,Person,FIJ,Fiji,0,POINTS,L
7558,2024-07-29T13:28:28+02:00,TTEMSINGLES-----------R64-002200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1544203,PITCHFORD Liam,Person,GBR,Great Britain,4,POINTS,W
8312,2024-07-29T13:44:02+02:00,TTEMSINGLES-----------R64-002800--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1879343,LIND Anders,Person,DEN,Denmark,4,POINTS,W
8313,2024-07-29T13:44:02+02:00,TTEMSINGLES-----------R64-002800--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1937383,FREITAS Marcos,Person,POR,Portugal,0,POINTS,L
8900,2024-07-29T21:01:30+02:00,TTEMSINGLES-----------R32-000900--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1889177,LEBRUN Felix,Person,FRA,France,4,POINTS,W
8901,2024-07-29T21:01:30+02:00,TTEMSINGLES-----------R32-000900--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1563381,KALLBERG Anton,Person,SWE,Sweden,2,POINTS,L
11204,2024-07-29T21:04:52+02:00,TTEMSINGLES-----------R32-000400--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1933504,GERASSIMENKO Kirill,Person,KAZ,Kazakhstan,4,POINTS,W
11205,2024-07-29T21:04:52+02:00,TTEMSINGLES-----------R32-000400--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1542547,QIU Dang,Person,GER,Germany,3,POINTS,L
9490,2024-07-29T21:59:35+02:00,TTEMSINGLES-----------R32-000300--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1902703,ASSAR Omar,Person,EGY,Egypt,4,POINTS,W
9491,2024-07-29T21:59:35+02:00,TTEMSINGLES-----------R32-000300--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1976250,MINO Alberto,Person,ECU,Ecuador,0,POINTS,L
9484,2024-07-29T22:03:41+02:00,TTEMSINGLES-----------R32-000200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1803711,KAO Cheng-Jui,Person,TPE,Chinese Taipei,4,POINTS,W
9485,2024-07-29T22:03:41+02:00,TTEMSINGLES-----------R32-000200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1541473,IONESCU Eduard,Person,ROU,Romania,1,POINTS,L
5514,2024-07-29T22:38:09+02:00,TTEMSINGLES-----------R32-000700--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1889176,LEBRUN Alexis,Person,FRA,France,4,POINTS,W
5515,2024-07-29T22:38:09+02:00,TTEMSINGLES-----------R32-000700--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1565008,PUCAR Tomislav,Person,CRO,Croatia,0,POINTS,L
11198,2024-07-29T23:01:35+02:00,TTEMSINGLES-----------R32-000500--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1936418,JANG Woojin,Person,KOR,Korea,4,POINTS,W
